"","Id","Position","FirstName","LastName","ExpectedPoints","Salary","Team","Opponent","TeamSalary","TotalPoints","TeamNumber"
"2735",12531,"D","Denver","Broncos",17.7,4700,"DEN","MIN",60000,177,7
"117",14190,"WR","Julio","Jones",28.3,9400,"ATL","HOU",59900,176.5,8
"21",6894,"QB","Aaron","Rodgers",26.1,9200,"GB","SF",59900,176.5,8
"377",6883,"WR","Larry","Fitzgerald",24.9,7400,"ARI","STL",59900,176.5,8
"427",24920,"RB","Devonta","Freeman",20,7200,"ATL","HOU",59900,176.5,8
"96",7972,"RB","Darren","Sproles",12.5,6000,"PHI","WAS",59900,176.5,8
"1017",22035,"WR","Travis","Benjamin",19.3,6000,"CLE","SD",59900,176.5,8
"1657",16923,"TE","Austin","Seferian-Jenkins",14.7,5200,"TB","CAR",59900,176.5,8
"2257",6522,"K","Josh","Brown",13,4800,"NYG","BUF",59900,176.5,8
"2736",12531,"D","Denver","Broncos",17.7,4700,"DEN","MIN",59900,176.5,8
"118",14190,"WR","Julio","Jones",28.3,9400,"ATL","HOU",60000,176.4,9
"275",14225,"QB","Andy","Dalton",23.9,7600,"CIN","KC",60000,176.4,9
"341",28473,"RB","Carlos","Hyde",15.3,7400,"SF","GB",60000,176.4,9
"378",6883,"WR","Larry","Fitzgerald",24.9,7400,"ARI","STL",60000,176.4,9
"428",24920,"RB","Devonta","Freeman",20,7200,"ATL","HOU",60000,176.4,9
"1018",22035,"WR","Travis","Benjamin",19.3,6000,"CLE","SD",60000,176.4,9
"1658",16923,"TE","Austin","Seferian-Jenkins",14.7,5200,"TB","CAR",60000,176.4,9
"1941",12546,"D","Arizona","Cardinals",17,5000,"ARI","STL",60000,176.4,9
"2258",6522,"K","Josh","Brown",13,4800,"NYG","BUF",60000,176.4,9
"119",14190,"WR","Julio","Jones",28.3,9400,"ATL","HOU",59800,176.3,10
"276",14225,"QB","Andy","Dalton",23.9,7600,"CIN","KC",59800,176.3,10
"353",27553,"RB","Joseph","Randle",16.2,7400,"DAL","NO",59800,176.3,10
"379",6883,"WR","Larry","Fitzgerald",24.9,7400,"ARI","STL",59800,176.3,10
"429",24920,"RB","Devonta","Freeman",20,7200,"ATL","HOU",59800,176.3,10
"1019",22035,"WR","Travis","Benjamin",19.3,6000,"CLE","SD",59800,176.3,10
"1659",16923,"TE","Austin","Seferian-Jenkins",14.7,5200,"TB","CAR",59800,176.3,10
"205",26247,"K","Brandon","McManus",11.3,4900,"DEN","MIN",59800,176.3,10
"2737",12531,"D","Denver","Broncos",17.7,4700,"DEN","MIN",59800,176.3,10
