Id,Position,First.Name,Last.Name,FPPG,Played,Salary,Game,Team,Opponent,Injury.Indicator,Injury.Details,TeamSalary,TotalPoints,Team_Num
16923,TE,Austin,Seferian-Jenkins,14.7,2,5200,CAR@TB,TB,CAR,O,Shoulder,59700,177.1,6
6522,K,Josh,Brown,13,3,4800,NYG@BUF,NYG,BUF,,,59700,177.1,6
12531,D,Denver,Broncos,17.7,3,4700,MIN@DEN,DEN,MIN,,,59700,177.1,6
14190,WR,Julio,Jones,28.3,3,9400,HOU@ATL,ATL,HOU,Q,Hamstring,60000,177,7
6894,QB,Aaron,Rodgers,26.1,3,9200,GB@SF,GB,SF,,,60000,177,7
6883,WR,Larry,Fitzgerald,24.9,3,7400,STL@ARI,ARI,STL,,,60000,177,7
24920,RB,Devonta,Freeman,20,3,7200,HOU@ATL,ATL,HOU,Q,Toe,60000,177,7
9421,RB,Danny,Woodhead,13,3,6100,CLE@SD,SD,CLE,,,60000,177,7
22035,WR,Travis,Benjamin,19.3,3,6000,CLE@SD,CLE,SD,Q,Ribs,60000,177,7
16923,TE,Austin,Seferian-Jenkins,14.7,2,5200,CAR@TB,TB,CAR,O,Shoulder,60000,177,7
6522,K,Josh,Brown,13,3,4800,NYG@BUF,NYG,BUF,,,60000,177,7
12531,D,Denver,Broncos,17.7,3,4700,MIN@DEN,DEN,MIN,,,60000,177,7
14190,WR,Julio,Jones,28.3,3,9400,HOU@ATL,ATL,HOU,Q,Hamstring,59900,176.5,8
14225,QB,Andy,Dalton,23.9,3,7600,KC@CIN,CIN,KC,,,59900,176.5,8
34331,RB,Latavius,Murray,16.4,3,7500,OAK@CHI,OAK,CHI,,,59900,176.5,8
6883,WR,Larry,Fitzgerald,24.9,3,7400,STL@ARI,ARI,STL,,,59900,176.5,8
24920,RB,Devonta,Freeman,20,3,7200,HOU@ATL,ATL,HOU,Q,Toe,59900,176.5,8
22035,WR,Travis,Benjamin,19.3,3,6000,CLE@SD,CLE,SD,Q,Ribs,59900,176.5,8
16923,TE,Austin,Seferian-Jenkins,14.7,2,5200,CAR@TB,TB,CAR,O,Shoulder,59900,176.5,8
26247,K,Brandon,McManus,11.3,3,4900,MIN@DEN,DEN,MIN,,,59900,176.5,8
12531,D,Denver,Broncos,17.7,3,4700,MIN@DEN,DEN,MIN,,,59900,176.5,8
14190,WR,Julio,Jones,28.3,3,9400,HOU@ATL,ATL,HOU,Q,Hamstring,60000,176.4,9
14225,QB,Andy,Dalton,23.9,3,7600,KC@CIN,CIN,KC,,,60000,176.4,9
28473,RB,Carlos,Hyde,15.3,3,7400,GB@SF,SF,GB,,,60000,176.4,9
6883,WR,Larry,Fitzgerald,24.9,3,7400,STL@ARI,ARI,STL,,,60000,176.4,9
24920,RB,Devonta,Freeman,20,3,7200,HOU@ATL,ATL,HOU,Q,Toe,60000,176.4,9
22035,WR,Travis,Benjamin,19.3,3,6000,CLE@SD,CLE,SD,Q,Ribs,60000,176.4,9
16923,TE,Austin,Seferian-Jenkins,14.7,2,5200,CAR@TB,TB,CAR,O,Shoulder,60000,176.4,9
12546,D,Arizona,Cardinals,17,3,5000,STL@ARI,ARI,STL,,,60000,176.4,9
6522,K,Josh,Brown,13,3,4800,NYG@BUF,NYG,BUF,,,60000,176.4,9
14190,WR,Julio,Jones,28.3,3,9400,HOU@ATL,ATL,HOU,Q,Hamstring,59800,176.3,10
14225,QB,Andy,Dalton,23.9,3,7600,KC@CIN,CIN,KC,,,59800,176.3,10
27553,RB,Joseph,Randle,16.2,3,7400,DAL@NO,DAL,NO,,,59800,176.3,10
6883,WR,Larry,Fitzgerald,24.9,3,7400,STL@ARI,ARI,STL,,,59800,176.3,10
24920,RB,Devonta,Freeman,20,3,7200,HOU@ATL,ATL,HOU,Q,Toe,59800,176.3,10
22035,WR,Travis,Benjamin,19.3,3,6000,CLE@SD,CLE,SD,Q,Ribs,59800,176.3,10
16923,TE,Austin,Seferian-Jenkins,14.7,2,5200,CAR@TB,TB,CAR,O,Shoulder,59800,176.3,10
26247,K,Brandon,McManus,11.3,3,4900,MIN@DEN,DEN,MIN,,,59800,176.3,10
12531,D,Denver,Broncos,17.7,3,4700,MIN@DEN,DEN,MIN,,,59800,176.3,10
