Id,Position,First Name,Last Name,Expected Points,Salary,Team,Opponent
6610,WR,Nate,Washington,9.2,5200,HOU,ATL
6373,QB,Derek,Anderson,8.4,5200,CAR,TB
8071,QB,Dan,Orlovsky,0,5200,DET,SEA
47294,RB,Terrence,Franks,0,5200,STL,ARI
16923,TE,Austin,Seferian-Jenkins,14.7,5200,TB,CAR
22288,WR,Cole,Beasley,5.1,5200,DAL,NO
6814,QB,Tarvaris,Jackson,6.1,5200,SEA,DET
21123,TE,Larry,Donnell,6.4,5200,NYG,BUF
7919,QB,Kellen,Clemens,6.5,5200,SD,CLE
7744,QB,Drew,Stanton,-0.3,5200,ARI,STL
14362,TE,Charles,Clay,10.8,5200,BUF,NYG
29780,TE,Zach,Ertz,4.4,5200,PHI,WAS
41807,RB,Michael,Dyer,0,5100,OAK,CHI
25272,TE,Eric,Ebron,11.4,5100,DET,SEA
54741,WR,Seth,Roberts,7.8,5100,OAK,CHI
25410,QB,Mike,Glennon,15.9,5100,TB,CAR
31047,QB,AJ,McCarron,0,5100,CIN,KC
14761,WR,Andre,Holmes,4.4,5100,OAK,CHI
14696,QB,Scott,Tolzien,0,5100,GB,SF
22234,RB,Chris,Polk,3.3,5100,HOU,ATL
6844,QB,Shaun,Hill,10.8,5100,MIN,DEN
6870,TE,Vernon,Davis,5,5100,SF,GB
6724,K,Steven,Hauschka,11.3,5100,SEA,DET
27050,WR,Tyler,Lockett,6.7,5100,SEA,DET
24891,RB,Chris,Thompson,7.1,5100,WAS,PHI
14344,QB,T.J.,Yates,1.6,5100,ATL,HOU
21972,WR,Brian,Quick,9.7,5000,STL,ARI
21952,WR,Michael,Floyd,1.3,5000,ARI,STL
14237,TE,Kyle,Rudolph,7.2,5000,MIN,DEN
6422,TE,Gary,Barnidge,9,5000,CLE,SD
54608,RB,Jerick,McKinnon,2.1,5000,MIN,DEN
14952,K,Dan,Bailey,7,5000,DAL,NO
11436,QB,Tim,Tebow,0,5000,PHI,WAS
12546,D,Arizona,Cardinals,17,5000,ARI,STL
6809,WR,Brian,Hartline,5,5000,CLE,SD
22165,RB,Bryce,Brown,5.2,5000,BUF,NYG
6897,K,Mason,Crosby,10.7,5000,GB,SF
11761,QB,Thaddeus,Lewis,0,5000,PHI,WAS
26094,WR,Brandon,Coleman,6.1,5000,NO,DAL
33465,RB,Theo,Riddick,8.8,5000,DET,SEA
44090,RB,Alonzo,Harris,1.7,5000,GB,SF
7788,WR,Louis,Murphy,5.8,5000,TB,CAR
21984,RB,Isaiah,Pead,-0.8,4900,STL,ARI
21971,TE,Coby,Fleener,3.4,4900,IND,JAC
26247,K,Brandon,McManus,11.3,4900,DEN,MIN
29683,WR,Nelson,Agholor,1.9,4900,PHI,WAS
34288,WR,Rannell,Hall,0,4900,TB,CAR
31675,RB,Josh,Robinson,2.8,4900,IND,JAC
6488,WR,Dwayne,Bowe,0,4900,CLE,SD
38269,RB,Cameron,Artis-Payne,0.3,4900,CAR,TB
29314,TE,Richard,Rodgers,6.5,4900,GB,SF
32354,WR,Malcome,Kennedy,0,4900,NO,DAL
24797,RB,Juwan,Thompson,0.4,4900,DEN,MIN
11479,RB,Toby,Gerhart,1,4900,JAC,IND
12556,D,Houston,Texans,4.7,4900,HOU,ATL
14704,WR,Chris,Hogan,4.4,4900,BUF,NYG
30807,TE,Mychal,Rivera,1.3,4900,OAK,CHI
6668,K,Adam,Vinatieri,2,4900,IND,JAC
22054,WR,Jarius,Wright,4.2,4900,MIN,DEN
34073,QB,Ryan,Griffin,2.3,4800,HOU,ATL
43956,QB,David,Fales,0,4800,CHI,OAK
29605,QB,Matt,Barkley,0,4800,ARI,STL
45797,QB,Garrett,Grayson,0,4800,NO,DAL
29445,QB,Sean,Mannion,0,4800,STL,ARI
6522,K,Josh,Brown,13,4800,NYG,BUF
22994,QB,Case,Keenum,12.4,4800,STL,ARI
30364,QB,Aaron,Murray,0,4800,KC,CIN
54705,QB,Dustin,Vaughan,0,4800,BUF,NYG
6387,WR,Miles,Austin,1.1,4800,PHI,WAS
39373,WR,Jaelen,Strong,0,4800,HOU,ATL
24760,QB,Sean,Renfree,0,4800,ATL,HOU
12553,D,Carolina,Panthers,10.3,4800,CAR,TB
11500,QB,Colt,McCoy,13.2,4800,WAS,PHI
24755,WR,Jamison,Crowder,3.8,4800,WAS,PHI
10354,RB,Marcel,Reece,8.1,4800,OAK,CHI
29003,RB,Ka'Deem,Carey,0,4800,CHI,OAK
24569,K,Chandler,Catanzaro,7.7,4800,ARI,STL
39492,TE,Josh,Hill,0.7,4800,NO,DAL
7975,RB,Mike,Tolbert,4.2,4800,CAR,TB
6831,QB,Matt,Hasselbeck,4.2,4800,IND,JAC
30788,QB,Tyler,Bray,0,4800,KC,CIN
7831,K,Sebastian,Janikowski,8.3,4800,OAK,CHI
39900,RB,Khiry,Robinson,8.2,4800,NO,DAL
10647,K,Matt,Bryant,10.3,4800,ATL,HOU
22187,QB,Chandler,Harnish,0,4800,ARI,STL
29915,QB,Brett,Hundley,0,4800,GB,SF
12526,D,Buffalo,Bills,8.7,4800,BUF,NYG
11543,TE,Clay,Harbor,3.9,4800,JAC,IND
11562,TE,Andrew,Quarless,0.8,4800,GB,SF
11615,QB,Joe,Webb,0,4800,CAR,TB
28202,RB,Jeremy,Langford,2.7,4700,CHI,OAK
6636,K,Mike,Nugent,6.3,4700,CIN,KC
47640,RB,Branden,Oliver,1.8,4700,SD,CLE
37245,RB,Foswhitt,Whittaker,1.2,4700,CAR,TB
31280,K,Cody,Parkey,5.7,4700,PHI,WAS
28486,WR,Corey (Philly),Brown,5.6,4700,CAR,TB
44449,WR,Willie,Snead,8,4700,NO,DAL
